site_code,individual,leaf_number,surface,random_number,angle,length_pixels
klkb,i5,l2,lower,3,-6.71,17.49
klkb,i5,l2,lower,4,2.862,20.025
klkb,i5,l2,lower,5,29.745,16.125
klkb,i5,l2,upper,1,174.56,20.763
klkb,i5,l2,upper,2,-130.815,29.153
klkb,i5,l2,upper,3,4.97,22.838
klkb,i5,l2,upper,4,-16.928,23.507
klkb,i5,l2,upper,5,174.644,32.191
klkb,i6,l1,lower,1,8.13,14.43
klkb,i6,l1,lower,2,50.711,14.426
klkb,i6,l1,lower,3,-127.875,11.6
klkb,i6,l1,lower,4,-94.764,12.562
klkb,i6,l1,lower,5,-57.529,13.252
klkb,i6,l1,upper,1,17.526,20.163
klkb,i6,l1,upper,2,-16.39,17.868
klkb,i6,l1,upper,3,-175.03,22.706
klkb,i6,l1,upper,4,10.784,21.378
klkb,i6,l1,upper,5,98.746,26.306
klkb,i6,l2,lower,1,-52.431,15.636
klkb,i6,l2,lower,2,-90,17.341
klkb,i6,l2,lower,3,-118.301,14.424
klkb,i6,l2,lower,4,-26.565,17.112
klkb,i6,l2,lower,5,-169.38,16.525
klkb,i6,l2,upper,1,-28.072,16.78
klkb,i6,l2,upper,2,-57.095,20.385
klkb,i6,l2,upper,3,-26.565,19.906
klkb,i6,l2,upper,4,135,21.216
klkb,i6,l2,upper,5,-53.973,13.601
klkb,i7,l2,lower,1,61.39,12.075
klkb,i7,l2,lower,2,-69.444,16.621
klkb,i7,l2,lower,3,0,13.671
klkb,i7,l2,lower,4,-59.036,11.319
klkb,i7,l2,lower,5,26.565,13.64
klkb,i7,l2,upper,1,45,13.679
klkb,i7,l2,upper,2,155.772,21.667
klkb,i7,l2,upper,3,-7.431,22.961
klkb,i7,l2,upper,4,0,22.336
klkb,i7,l2,upper,5,-46.637,24.531
klkb,i8,l1,lower,1,47.726,15.052
klkb,i8,l1,lower,2,33.69,14.422
klkb,i8,l1,lower,3,-171.87,14.18
klkb,i8,l1,lower,4,-127.569,16.008
klkb,i8,l1,lower,5,-55.008,12.851
klkb,i8,l1,upper,1,-122.619,29.682
klkb,i8,l1,upper,2,-42.51,33.5
klkb,i8,l1,upper,3,33.024,23.854
klkb,i8,l1,upper,4,-94.399,26.104
klkb,i8,l1,upper,5,-178.025,29.674
hlan,i1,l1,lower,1,-58.392,15.092
hlan,i1,l1,lower,2,0,19.012
hlan,i1,l1,lower,3,-140.194,16.138
hlan,i1,l1,lower,4,-4.764,11.543
hlan,i1,l1,lower,5,-85.914,13.903
hlan,i1,l1,upper,1,-71.565,18.974
hlan,i1,l1,upper,2,27.759,20.883
hlan,i1,l1,upper,3,23.962,19.437
hlan,i1,l1,upper,4,150.751,28.653
hlan,i1,l1,upper,5,-130.236,17.337
hlan,i1,l2,lower,1,11.31,14.907
hlan,i1,l2,lower,2,11.31,15.454
hlan,i1,l2,lower,3,47.49,16.651
hlan,i1,l2,lower,4,-81.87,13.613
hlan,i1,l2,lower,5,-59.744,14.199
hlan,i1,l2,upper,1,-10.491,28.309
hlan,i1,l2,upper,2,36.87,25.11
hlan,i1,l2,upper,3,42.274,29.713
hlan,i1,l2,upper,4,-83.089,33.738
hlan,i1,l2,upper,5,-127.694,27.487
hlan,i2,l1,lower,1,10.305,12.013
hlan,i2,l1,lower,2,-3.814,15.181
hlan,i2,l1,lower,3,-131.634,24.052
hlan,i2,l1,lower,4,32.276,22.932
hlan,i2,l1,lower,5,-9.09,25.044
hlan,i2,l1,upper,1,-40.101,24.271
hlan,i2,l1,upper,2,-29.745,24.187
hlan,i2,l1,upper,3,-90,28.504
hlan,i2,l1,upper,4,-110.556,25.517
hlan,i2,l1,upper,5,11.768,24.568
hlan,i2,l2,lower,1,-94.764,12.074
hlan,i2,l2,lower,2,-81.87,14.08
hlan,i2,l2,lower,3,3.366,16.697
hlan,i2,l2,lower,4,42.51,16.267
hlan,i2,l2,lower,5,-50.194,15.077
hlan,i2,l2,upper,1,24.228,22.142
